time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	xk	yk	zk	dx	dy	dz	dxk	dyk	dzk	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
1.68832	0	0	0	0	0	0	0	0	0	0	0	0	-4.38037	0.0591262	0.230282	-4.37521	0.0573376	0.258014	-0.0271073	0.281552	0.2924	0.022927	-0.028089	0.0118445	0	0	0	-0.181165	0.053058	-0.0345595	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.68934	0	0	0	0	0	0	0	0	0	0	0	0	-4.38037	0.0591262	0.230282	-4.3765	0.0575891	0.254539	0.0165178	0.295658	0.278958	0.00932179	-0.0226053	0.00455532	0	0	0	-0.18134	0.053058	-0.0345595	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.69931	0	0	0	0	0	0	0	0	0	0	0	0	-4.38037	0.0591262	0.230282	-4.37733	0.0579997	0.251369	0.0565462	0.310171	0.2571	0.00458471	-0.0170164	-0.00276806	0	0	0	-0.181514	0.0532325	-0.0345595	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.70934	0	0	0	0	0	0	0	0	0	0	0	0	-4.38037	0.0591262	0.230282	-4.37771	0.0585398	0.248477	0.0914971	0.324512	0.22765	0.00542076	-0.0113962	-0.00973672	0	0	0	-0.181689	0.0532325	-0.0345595	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.71364	0	0	0	0	0	0	0	0	0	0	0	0	-4.38377	0.0876395	0.230282	-4.37898	0.0640741	0.24599	0.0869179	0.377891	0.266286	-0.00134793	0.00772807	-0.0138056	0	0	0	-0.181689	0.0532325	-0.0412488	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.71931	0	0	0	0	0	0	0	0	0	0	0	0	-4.38377	0.0876395	0.230282	-4.37971	0.0692339	0.24374	0.118247	0.393863	0.228373	0.00033748	0.0239181	-0.0186164	0	0	0	-0.181863	0.0532325	-0.0412488	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.72933	0	0	0	0	0	0	0	0	0	0	0	0	-4.38377	0.0876395	0.230282	-4.37997	0.0740001	0.24169	0.1416	0.40884	0.184565	0.00571066	0.0376308	-0.0233567	0	0	0	-0.182212	0.0534071	-0.0412488	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.73934	0	0	0	0	0	0	0	0	0	0	0	0	-4.38377	0.0876395	0.230282	-4.37987	0.0783671	0.239811	0.156057	0.422245	0.136456	0.0126492	0.0490507	-0.0278202	0	0	0	-0.182561	0.0535816	-0.0412488	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.74858	0	0	0	0	0	0	0	0	0	0	0	0	-4.38498	0.0922637	0.235867	-4.38126	0.0829541	0.239252	-0.00515977	0.3724	0.227397	-0.00743738	0.0587187	-0.0226063	0	0	0	-0.182561	0.0535816	-0.0425433	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.74932	0	0	0	0	0	0	0	0	0	0	0	0	-4.38498	0.0922637	0.235867	-4.38237	0.0870713	0.238806	0.0207582	0.383526	0.207111	-0.0124002	0.0668082	-0.0203503	0	0	0	-0.183085	0.0537561	-0.0425433	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.75926	0	0	0	0	0	0	0	0	0	0	0	0	-4.38498	0.0922637	0.235867	-4.38307	0.0907416	0.238438	0.0420967	0.394405	0.181907	-0.0119648	0.0730671	-0.0191068	0	0	0	-0.18326	0.0537561	-0.0425433	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.76937	0	0	0	0	0	0	0	0	0	0	0	0	-4.38498	0.0922637	0.235867	-4.38342	0.0939869	0.23812	0.0580414	0.404656	0.152652	-0.00875967	0.0776556	-0.0185028	0	0	0	-0.183434	0.0539307	-0.0425433	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.77936	0	0	0	0	0	0	0	0	0	0	0	0	-4.38498	0.0922637	0.235867	-4.3835	0.0968313	0.23783	0.0680141	0.413896	0.12034	-0.00426408	0.0808418	-0.0184375	0	0	0	-0.183958	0.0542797	-0.0425433	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.78014	0	0	0	0	0	0	0	0	0	0	0	0	-4.38377	0.0967967	0.227414	-4.38305	0.0993949	0.234757	-0.0275244	0.133628	-0.505431	0.000242482	0.0796391	-0.0322066	0	0	0	-0.183958	0.0542797	-0.0432401	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.78941	0	0	0	0	0	0	0	0	0	0	0	0	-4.38377	0.0967967	0.227414	-4.3833	0.101451	0.231857	-0.125254	0.105404	-0.497268	-0.0102783	0.0770618	-0.0397424	0	0	0	-0.184132	0.0544543	-0.0432401	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.79952	0	0	0	0	0	0	0	0	0	0	0	0	-4.38377	0.0967967	0.227414	-4.38432	0.103043	0.22921	-0.218709	0.0743505	-0.469801	-0.0286022	0.0729712	-0.043936	0	0	0	-0.184481	0.0546288	-0.0432401	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.80934	0	0	0	0	0	0	0	0	0	0	0	0	-4.38377	0.0967967	0.227414	-4.38599	0.104205	0.226865	-0.304282	0.0416662	-0.42397	-0.0514435	0.0677089	-0.0453733	0	0	0	-0.18483	0.0548033	-0.0432401	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.81928	0	0	0	0	0	0	0	0	0	0	0	0	-4.38377	0.0967967	0.227414	-4.38817	0.104976	0.224858	-0.37857	0.00862251	-0.361503	-0.0762456	0.0616334	-0.0444488	0	0	0	-0.185005	0.0549779	-0.0432401	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.82184	0	0	0	0	0	0	0	0	0	0	0	0	-4.38123	0.0972498	0.235298	-4.38724	0.105865	0.22589	0.0411365	0.170805	0.229437	-0.04308	0.0604118	-0.0393676	0	0	0	-0.185005	0.0549779	-0.0437613	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.82931	0	0	0	0	0	0	0	0	0	0	0	0	-4.38123	0.0972498	0.235298	-4.38581	0.106559	0.226994	0.0752563	0.184233	0.209529	-0.0220018	0.0583318	-0.0347906	0	0	0	-0.185005	0.0549779	-0.0437613	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.83932	0	0	0	0	0	0	0	0	0	0	0	0	-4.38123	0.0972498	0.235298	-4.3842	0.107086	0.22809	0.104556	0.197735	0.182966	-0.00374905	0.0560848	-0.0307638	0	0	0	-0.185179	0.0551524	-0.0437613	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.84607	0	0	0	0	0	0	0	0	0	0	0	0	-4.38108	0.111197	0.220269	-4.3824	0.109715	0.225096	0.0181701	0.135253	-0.514314	0.0105236	0.0586631	-0.0452131	0	0	0	-0.185179	0.0551524	-0.0475301	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.84934	0	0	0	0	0	0	0	0	0	0	0	0	-4.38108	0.111197	0.220269	-4.38154	0.11191	0.22228	-0.0832626	0.107682	-0.514407	0.00556703	0.0589691	-0.0525362	0	0	0	-0.185354	0.0553269	-0.0475301	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.8594	0	0	0	0	0	0	0	0	0	0	0	0	-4.38108	0.111197	0.220269	-4.38168	0.113688	0.219723	-0.18166	0.0763887	-0.494274	-0.0101551	0.0574883	-0.0561175	0	0	0	-0.185528	0.0553269	-0.0475301	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.86931	0	0	0	0	0	0	0	0	0	0	0	0	-4.38108	0.111197	0.220269	-4.38272	0.115069	0.217467	-0.273085	0.0425922	-0.454701	-0.0323492	0.0544796	-0.0566791	0	0	0	-0.185528	0.0553269	-0.0475301	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.87931	0	0	0	0	0	0	0	0	0	0	0	0	-4.38108	0.111197	0.220269	-4.38448	0.11608	0.215549	-0.353961	0.00754491	-0.397237	-0.0580663	0.0501808	-0.0547596	0	0	0	-0.185528	0.0555015	-0.0475301	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.8818	0	0	0	0	0	0	0	0	0	0	0	0	-4.37228	0.113449	0.202028	-4.38089	0.11735	0.210108	-0.0318135	0.055518	-0.773933	-0.0108319	0.0498701	-0.0794064	0	0	0	-0.185528	0.0555015	-0.0478917	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.88929	0	0	0	0	0	0	0	0	0	0	0	0	-4.37228	0.113449	0.202028	-4.37856	0.11827	0.205155	-0.17674	0.0118748	-0.756101	-0.00971946	0.0465847	-0.0914207	0	0	0	-0.185703	0.055676	-0.0478917	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.89942	0	0	0	0	0	0	0	0	0	0	0	0	-4.37228	0.113449	0.202028	-4.37783	0.11885	0.200761	-0.313789	-0.036134	-0.709435	-0.0272927	0.0416107	-0.0969167	0	0	0	-0.185878	0.055676	-0.0478917	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
