1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
time ;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;timeTe;xTe;
10,005;-3,90157;0,0273535;0,0956678;-0,021964;-0,0741442;0,0566693;-0,0225222;-0,0752932;0,0549079;-0,0225222;-0,0752932;0,377029;;;
10,015;-3,90157;0,0273535;0,0956678;-0,021964;-0,0741442;0,0566693;-0,0225222;-0,0752932;0,0549079;-0,0225222;-0,0752932;0,377029;;;
10,0249;-3,90157;0,0273535;0,0956678;-0,021964;-0,0741442;0,0566693;-0,0225222;-0,0752932;0,0549079;-0,0225222;-0,0752932;0,377029;;;
10,0255;-3,89922;0,0243892;0,09761;-0,0204293;-0,101983;-0,0124902;-0,0225222;-0,101187;-0,0150921;-0,0225222;-0,101187;-0,266442;;;
10,035;-3,89922;0,0243892;0,09761;-0,0204293;-0,101983;-0,0124902;-0,0225222;-0,101187;-0,0150921;-0,0225222;-0,101187;-0,266442;;;
10,045;-3,89922;0,0243892;0,09761;-0,0204293;-0,101983;-0,0124902;-0,0225222;-0,101187;-0,0150921;-0,0225222;-0,101187;-0,266442;;;
10,055;-3,89922;0,0243892;0,09761;-0,0204293;-0,101983;-0,0124902;-0,0225222;-0,101187;-0,0150921;-0,0225222;-0,101187;-0,266442;;;
10,0634;-3,89922;0,0225169;0,103317;-0,0352283;-0,0743266;0,0566235;-0,0358853;-0,0752932;0,0549079;-0,0358853;-0,0752932;0,150482;;;
10,065;-3,89922;0,0225169;0,103317;-0,0352283;-0,0743266;0,0566235;-0,0358853;-0,0752932;0,0549079;-0,0358853;-0,0752932;0,150482;;;
10,075;-3,89922;0,0225169;0,103317;-0,0352283;-0,0743266;0,0566235;-0,0358853;-0,0752932;0,0549079;-0,0358853;-0,0752932;0,150482;;;
10,085;-3,89922;0,0225169;0,103317;-0,0352283;-0,0743266;0,0566235;-0,0358853;-0,0752932;0,0549079;-0,0358853;-0,0752932;0,150482;;;
10,0923;-3,90058;0,0225169;0,0998737;-0,036104;-0,00647058;-0,0153882;-0,0364194;-0,00529315;-0,0150921;-0,0364194;0,033433;-0,119266;;;
