time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
1.67326	0	0	0	0	0	0	0	0	0	0	0	0	-2.65243	-0.160452	0.254315	0.0456802	-0.0335015	-0.0275639	0	0	0	-0.0944223	0.0247837	-0.0359492	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.67563	0	0	0	0	0	0	0	0	0	0	0	0	-2.65243	-0.160452	0.254315	0.0456802	-0.0335015	-0.0275639	0	0	0	-0.0944223	0.0247837	-0.0359492	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.6857	0	0	0	0	0	0	0	0	0	0	0	0	-2.65243	-0.160452	0.254315	0.0456802	-0.0335015	-0.0275639	0	0	0	-0.0944223	0.0247837	-0.0359492	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.69562	0	0	0	0	0	0	0	0	0	0	0	0	-2.65243	-0.160452	0.254315	0.0456802	-0.0335015	-0.0275639	0	0	0	-0.0942478	0.0247837	-0.0359492	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.70559	0	0	0	0	0	0	0	0	0	0	0	0	-2.65243	-0.160452	0.254315	0.0456802	-0.0335015	-0.0275639	0	0	0	-0.0944223	0.0247837	-0.0359492	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.70856	0	0	0	0	0	0	0	0	0	0	0	0	-2.65096	-0.161535	0.255066	0.0557751	-0.094943	0.0567262	0	0	0	-0.0944223	0.0247837	-0.0355893	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.71561	0	0	0	0	0	0	0	0	0	0	0	0	-2.65096	-0.161535	0.255066	0.0557751	-0.094943	0.0567262	0	0	0	-0.0944223	0.0247837	-0.0355893	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.72562	0	0	0	0	0	0	0	0	0	0	0	0	-2.65096	-0.161535	0.255066	0.0557751	-0.094943	0.0567262	0	0	0	-0.0945968	0.0247837	-0.0355893	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.73558	0	0	0	0	0	0	0	0	0	0	0	0	-2.65096	-0.161535	0.255066	0.0557751	-0.094943	0.0567262	0	0	0	-0.0945968	0.0246091	-0.0355893	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.74066	0	0	0	0	0	0	0	0	0	0	0	0	-2.65001	-0.204741	0.256409	0.0391359	-0.0324907	0.0567426	0	0	0	-0.0945968	0.0246091	-0.0192039	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.74565	0	0	0	0	0	0	0	0	0	0	0	0	-2.65001	-0.204741	0.256409	0.0391359	-0.0324907	0.0567426	0	0	0	-0.0947714	0.0244346	-0.0192039	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.75561	0	0	0	0	0	0	0	0	0	0	0	0	-2.65001	-0.204741	0.256409	0.0391359	-0.0324907	0.0567426	0	0	0	-0.0947714	0.0242601	-0.0192039	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.76567	0	0	0	0	0	0	0	0	0	0	0	0	-2.65001	-0.204741	0.256409	0.0391359	-0.0324907	0.0567426	0	0	0	-0.0947714	0.0242601	-0.0192039	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.77493	0	0	0	0	0	0	0	0	0	0	0	0	-2.64944	-0.206134	0.259302	0.0330886	-0.0387704	0.0574522	0	0	0	-0.0947714	0.0242601	-0.0187034	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.77564	0	0	0	0	0	0	0	0	0	0	0	0	-2.64944	-0.206134	0.259302	0.0330886	-0.0387704	0.0574522	0	0	0	-0.0949459	0.0240855	-0.0187034	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.78563	0	0	0	0	0	0	0	0	0	0	0	0	-2.64944	-0.206134	0.259302	0.0330886	-0.0387704	0.0574522	0	0	0	-0.0949459	0.0240855	-0.0187034	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.79561	0	0	0	0	0	0	0	0	0	0	0	0	-2.64944	-0.206134	0.259302	0.0330886	-0.0387704	0.0574522	0	0	0	-0.0949459	0.0240855	-0.0187034	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.8041	0	0	0	0	0	0	0	0	0	0	0	0	-2.64895	-0.206134	0.259302	0.0201877	-0.0410998	-0.0357117	0	0	0	-0.0949459	0.0240855	-0.0187022	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.80568	0	0	0	0	0	0	0	0	0	0	0	0	-2.64895	-0.206134	0.259302	0.0201877	-0.0410998	-0.0357117	0	0	0	-0.0951204	0.023911	-0.0187022	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.81567	0	0	0	0	0	0	0	0	0	0	0	0	-2.64895	-0.206134	0.259302	0.0201877	-0.0410998	-0.0357117	0	0	0	-0.0951204	0.0240855	-0.0187022	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.82562	0	0	0	0	0	0	0	0	0	0	0	0	-2.64895	-0.206134	0.259302	0.0201877	-0.0410998	-0.0357117	0	0	0	-0.0951204	0.0240855	-0.0187022	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.83561	0	0	0	0	0	0	0	0	0	0	0	0	-2.64895	-0.206134	0.259302	0.0201877	-0.0410998	-0.0357117	0	0	0	-0.0951204	0.0240855	-0.0187022	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.84563	0	0	0	0	0	0	0	0	0	0	0	0	-2.64895	-0.206134	0.259302	0.0201877	-0.0410998	-0.0357117	0	0	0	-0.0951204	0.0240855	-0.0187022	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.84679	0	0	0	0	0	0	0	0	0	0	0	0	-2.64944	-0.20773	0.259302	-0.0169216	-0.0417038	-0.0321597	0	0	0	-0.0951204	0.0240855	-0.0181663	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.85561	0	0	0	0	0	0	0	0	0	0	0	0	-2.64944	-0.20773	0.259302	-0.0169216	-0.0417038	-0.0321597	0	0	0	-0.095295	0.0242601	-0.0181663	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
