time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dx	dy	dz	dxd	dyd	dzd	dxNED	dyNED	dzNED	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	gravity
1.83401	0	0	0	0	0	0	0	0	0	0	0	0	-3.40788	0.0154839	0.0199523	0.0136152	0.046568	0.285952	0	0	0	0.00108865	0.042739	0.286871	-0.053058	0.0132645	-0.0640887	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.84382	0	0	0	0	0	0	0	0	0	0	0	0	-3.40788	0.0154839	0.0199523	0.0136152	0.046568	0.285952	0	0	0	0.00108865	0.042739	0.286871	-0.053058	0.01309	-0.0640887	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.85221	0	0	0	0	0	0	0	0	0	0	0	0	-3.40788	0.0186495	0.0250217	-0.000383198	0.119787	0.123321	0	0	0	0.000701817	0.118368	0.124682	-0.053058	0.01309	-0.0651451	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.85382	0	0	0	0	0	0	0	0	0	0	0	0	-3.40788	0.0186495	0.0250217	-0.000383198	0.119787	0.123321	0	0	0	0.000701817	0.118368	0.124682	-0.053058	0.01309	-0.0651451	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.8638	0	0	0	0	0	0	0	0	0	0	0	0	-3.40788	0.0186495	0.0250217	-0.000383198	0.119787	0.123321	0	0	0	0.000701817	0.118368	0.124682	-0.0532325	0.0129154	-0.0651451	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.87385	0	0	0	0	0	0	0	0	0	0	0	0	-3.40788	0.0186495	0.0250217	-0.000383198	0.119787	0.123321	0	0	0	0.000701817	0.118368	0.124682	-0.0532325	0.0129154	-0.0651451	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.87803	0	0	0	0	0	0	0	0	0	0	0	0	-3.40853	0.0186495	0.0199523	-0.0280174	0.114042	-0.291894	0	0	0	-0.00483101	0.118368	-0.291476	-0.0532325	0.0129154	-0.0651451	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.88389	0	0	0	0	0	0	0	0	0	0	0	0	-3.40853	0.0186495	0.0199523	-0.0280174	0.114042	-0.291894	0	0	0	-0.00483101	0.118368	-0.291476	-0.0532325	0.0127409	-0.0651451	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.89402	0	0	0	0	0	0	0	0	0	0	0	0	-3.40853	0.0186495	0.0199523	-0.0280174	0.114042	-0.291894	0	0	0	-0.00483101	0.118368	-0.291476	-0.0532325	0.0125664	-0.0651451	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.90386	0	0	0	0	0	0	0	0	0	0	0	0	-3.40853	0.0186495	0.0199523	-0.0280174	0.114042	-0.291894	0	0	0	-0.00483101	0.118368	-0.291476	-0.0534071	0.0125664	-0.0651451	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
