time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
1.67853	0	0	0	0	0	0	0	0	0	0	0	0	-2.84389	-0.327143	0.169324	-0.0094892	-0.0587306	-0.0420725	0	0	0	-0.0670206	0.00977384	-0.00737942	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.68099	0	0	0	0	0	0	0	0	0	0	0	0	-2.84389	-0.321191	0.171458	-0.00803349	-0.0585483	0.020843	0	0	0	-0.0670206	0.00977384	-0.0093588	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.68857	0	0	0	0	0	0	0	0	0	0	0	0	-2.84389	-0.321191	0.171458	-0.00803349	-0.0585483	0.020843	0	0	0	-0.0668461	0.00994838	-0.0093588	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.69857	0	0	0	0	0	0	0	0	0	0	0	0	-2.84389	-0.321191	0.171458	-0.00803349	-0.0585483	0.020843	0	0	0	-0.0663225	0.0101229	-0.0093588	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.70845	0	0	0	0	0	0	0	0	0	0	0	0	-2.84389	-0.321191	0.171458	-0.00803349	-0.0585483	0.020843	0	0	0	-0.0659734	0.0102974	-0.0093588	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.71357	0	0	0	0	0	0	0	0	0	0	0	0	-2.84269	-0.321191	0.171784	0.02284	-0.0177035	0.0184034	0	0	0	-0.0659734	0.0102974	-0.0093588	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.71847	0	0	0	0	0	0	0	0	0	0	0	0	-2.84269	-0.321191	0.171784	0.02284	-0.0177035	0.0184034	0	0	0	-0.0654498	0.0102974	-0.0093588	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.72853	0	0	0	0	0	0	0	0	0	0	0	0	-2.84269	-0.321191	0.171784	0.02284	-0.0177035	0.0184034	0	0	0	-0.0651008	0.0102974	-0.0093588	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.73848	0	0	0	0	0	0	0	0	0	0	0	0	-2.84269	-0.321191	0.171784	0.02284	-0.0177035	0.0184034	0	0	0	-0.0647517	0.0102974	-0.0093588	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.7485	0	0	0	0	0	0	0	0	0	0	0	0	-2.84269	-0.321191	0.171784	0.02284	-0.0177035	0.0184034	0	0	0	-0.0644026	0.0101229	-0.0093588	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.74885	0	0	0	0	0	0	0	0	0	0	0	0	-2.84269	-0.321781	0.172198	0.0236077	-0.105369	0.0192722	0	0	0	-0.0644026	0.0101229	-0.00914702	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.75844	0	0	0	0	0	0	0	0	0	0	0	0	-2.84269	-0.321781	0.172198	0.0236077	-0.105369	0.0192722	0	0	0	-0.0642281	0.0101229	-0.00914702	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.76846	0	0	0	0	0	0	0	0	0	0	0	0	-2.84269	-0.321781	0.172198	0.0236077	-0.105369	0.0192722	0	0	0	-0.0640536	0.0102974	-0.00914702	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.7757	0	0	0	0	0	0	0	0	0	0	0	0	-2.84209	-0.325249	0.175145	0.0276185	-0.0169566	0.0938837	0	0	0	-0.0640536	0.0102974	-0.0079503	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.7785	0	0	0	0	0	0	0	0	0	0	0	0	-2.84209	-0.325249	0.175145	0.0276185	-0.0169566	0.0938837	0	0	0	-0.0637045	0.0101229	-0.0079503	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.78857	0	0	0	0	0	0	0	0	0	0	0	0	-2.84209	-0.325249	0.175145	0.0276185	-0.0169566	0.0938837	0	0	0	-0.0637045	0.0102974	-0.0079503	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.79854	0	0	0	0	0	0	0	0	0	0	0	0	-2.84209	-0.325249	0.175145	0.0276185	-0.0169566	0.0938837	0	0	0	-0.06353	0.0101229	-0.0079503	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.80856	0	0	0	0	0	0	0	0	0	0	0	0	-2.84209	-0.325249	0.175145	0.0276185	-0.0169566	0.0938837	0	0	0	-0.06353	0.0101229	-0.0079503	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.81283	0	0	0	0	0	0	0	0	0	0	0	0	-2.84285	-0.325249	0.175145	-0.0176591	0.0105869	0.0964936	0	0	0	-0.06353	0.0101229	-0.0079503	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.81851	0	0	0	0	0	0	0	0	0	0	0	0	-2.84285	-0.325249	0.175145	-0.0176591	0.0105869	0.0964936	0	0	0	-0.0633555	0.00994838	-0.0079503	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.82857	0	0	0	0	0	0	0	0	0	0	0	0	-2.84285	-0.325249	0.175145	-0.0176591	0.0105869	0.0964936	0	0	0	-0.0633555	0.00994838	-0.0079503	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.83852	0	0	0	0	0	0	0	0	0	0	0	0	-2.84285	-0.325249	0.175145	-0.0176591	0.0105869	0.0964936	0	0	0	-0.0633555	0.00994838	-0.0079503	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.84561	0	0	0	0	0	0	0	0	0	0	0	0	-2.84209	-0.319246	0.175245	0.0298367	0.010354	0.0271446	0	0	0	-0.0633555	0.00994838	-0.0101541	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
