time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	xk	yk	zk	dx	dy	dz	dxd	dyd	dzd	dxk	dyk	dzk	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
1.80466	0	0	0	0	0	0	0	0	0	0	0	0	-4.24187	0.0114817	0.099427	-4.25003	0.0113266	0.0980212	-0.536591	-0.431359	-0.695486	-0.116906	0.0222513	-0.172274	0	0	0	-0.170344	0.0268781	0.00712061	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.80508	0	0	0	0	0	0	0	0	0	0	0	0	-4.24378	-0.00220683	0.099427	-4.25222	0.00797823	0.0954078	-0.201087	-0.650976	0.980137	-0.125007	0.00492879	-0.147792	0	0	0	-0.170344	0.0268781	0.00975629	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.81467	0	0	0	0	0	0	0	0	0	0	0	0	-4.24378	-0.00220683	0.099427	-4.25292	0.00479381	0.0939251	-0.0379225	-0.622199	1.01799	-0.109178	-0.00958814	-0.130326	0	0	0	-0.170693	0.026529	0.00975629	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.8247	0	0	0	0	0	0	0	0	0	0	0	0	-4.24378	-0.00220683	0.099427	-4.25206	0.00182373	0.0932973	0.129923	-0.594952	1.02666	-0.0775557	-0.0219698	-0.115206	0	0	0	-0.171042	0.0263545	0.00975629	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.83475	0	0	0	0	0	0	0	0	0	0	0	0	-4.24378	-0.00220683	0.099427	-4.24978	-0.000909264	0.0933295	0.297394	-0.570236	1.00562	-0.0350393	-0.0324312	-0.102325	0	0	0	-0.171391	0.0260054	0.00975629	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.84223	0	0	0	0	0	0	0	0	0	0	0	0	-4.24572	-0.0200243	0.108795	-4.24861	-0.00588208	0.095217	0.19895	-0.352497	0.902901	-0.0217613	-0.0450852	-0.0823602	0	0	0	-0.171391	0.0260054	0.012523	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.8447	0	0	0	0	0	0	0	0	0	0	0	0	-4.24572	-0.0200243	0.108795	-4.2465	-0.0103121	0.0973448	0.345812	-0.332571	0.865376	0.0110935	-0.055521	-0.0673201	0	0	0	-0.171566	0.0260054	0.012523	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.85468	0	0	0	0	0	0	0	0	0	0	0	0	-4.24572	-0.0200243	0.108795	-4.24345	-0.0142236	0.0995729	0.484624	-0.316251	0.802615	0.0510873	-0.0636239	-0.0557469	0	0	0	-0.171915	0.0258309	0.012523	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.86467	0	0	0	0	0	0	0	0	0	0	0	0	-4.24572	-0.0200243	0.108795	-4.23963	-0.0176445	0.101772	0.611215	-0.30402	0.716278	0.0938905	-0.0693239	-0.04725	0	0	0	-0.172439	0.0256563	0.012523	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.87108	0	0	0	0	0	0	0	0	0	0	0	0	-4.24572	-0.0215674	0.121396	-4.23916	-0.02105	0.105339	0.138581	-0.365237	0.428826	0.0640676	-0.0740285	-0.0272987	0	0	0	-0.172439	0.0256563	0.012523	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.87502	0	0	0	0	0	0	0	0	0	0	0	0	-4.24572	-0.0215674	0.121396	-4.23882	-0.0240043	0.108684	0.205589	-0.356646	0.408694	0.061528	-0.0771464	-0.0135161	0	0	0	-0.172439	0.0254818	0.012523	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.88473	0	0	0	0	0	0	0	0	0	0	0	0	-4.24572	-0.0215674	0.121396	-4.2382	-0.0265343	0.111773	0.268379	-0.349765	0.377003	0.0667148	-0.0788666	-0.00336478	0	0	0	-0.172788	0.0253073	0.012523	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
