time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxr3	dyr3	dzr3	dxr4	dyr4	dzr4	dxr5	dyr5	dzr5	dxrDer	dyrDer	dzrDer	dxd	dyd	dzd	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
1.5795	0	0	0	0	0	0	0	0	0	0	0	0	-3.75697	0.0770536	0.0392402	-0.0775601	-0.079343	-0.045685	-0.0697734	-0.0862702	-0.045685	-0.0697734	-0.12627	-0.00568501	-0.0136987	-0.16	0.074315	-0.0697734	0.0604971	-0.0895848	-0.024616	0	0	0	0	0	0	0	0.0939652	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.61298	0	0	0	0	0	0	0	0	0	0	0	0	-3.75864	0.0806616	0.0316537	-0.0671966	0.0199632	-0.145685	-0.0687416	0.0137298	-0.145685	-0.0687416	-0.0462702	-0.085685	-0.0536987	-0.12	0.034315	-0.0687416	0.176938	-0.226653	-0.0597329	0	0	0	0	0	0	0	0.0916458	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.63949	0	0	0	0	0	0	0	0	0	0	0	0	-3.75864	0.0806616	0.0316537	-0.0671966	0.0199632	-0.145685	-0.0687416	0.0137298	-0.145685	-0.0687416	-0.0462702	-0.085685	-0.0536987	-0.12	0.034315	-0.0687416	0.176938	-0.226653	-0.0597329	0	0	0	0	0	0	0	0.0916458	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.64928	0	0	0	0	0	0	0	0	0	0	0	0	-3.75864	0.0806616	0.0316537	-0.0671966	0.0199632	-0.145685	-0.0687416	0.0137298	-0.145685	-0.0687416	-0.0462702	-0.085685	-0.0536987	-0.12	0.034315	-0.0687416	0.176938	-0.226653	-0.0597329	0	0	0	0	0	0	0	0.0916458	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.65002	0	0	0	0	0	0	0	0	0	0	0	0	-3.75864	0.0770536	0.0316537	-0.076141	-0.0798154	-0.226653	-0.0687416	-0.0862702	-0.226653	-0.0687416	-0.12627	-0.165685	-0.0687416	-0.135242	-0.00568501	-0.0687416	-0.135242	-0.226653	-0.0452561	0	0	0	0	0	0	0	0.0890453	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.65925	0	0	0	0	0	0	0	0	0	0	0	0	-3.75864	0.0770536	0.0316537	-0.076141	-0.0798154	-0.226653	-0.0687416	-0.0862702	-0.226653	-0.0687416	-0.12627	-0.165685	-0.0687416	-0.135242	-0.00568501	-0.0687416	-0.135242	-0.226653	-0.0452561	0	0	0	0	0	0.0720821	0.0401426	0.0890453	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.66923	0	0	0	0	0	0	0	0	0	0	0	0	-3.75864	0.0770536	0.0316537	-0.076141	-0.0798154	-0.226653	-0.0687416	-0.0862702	-0.226653	-0.0687416	-0.12627	-0.165685	-0.0687416	-0.135242	-0.00568501	-0.0687416	-0.135242	-0.226653	-0.0452561	0	0	0	0	0	0.0722566	0.0403171	0.0890453	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.67845	0	0	0	0	0	0	0	0	0	0	0	0	-3.75641	0.082976	0.0123389	0.0486324	0.00187417	-0.223983	0.0312584	0.0137298	-0.226653	0.0112584	-0.0462702	-0.226653	-0.0287416	-0.0952424	-0.045685	0.0543453	0.176938	-0.226653	0.0869228	0	0	0	0	0	0.0722566	0.0403171	0.0888934	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.67922	0	0	0	0	0	0	0	0	0	0	0	0	-3.75641	0.082976	0.0123389	0.0486324	0.00187417	-0.223983	0.0312584	0.0137298	-0.226653	0.0112584	-0.0462702	-0.226653	-0.0287416	-0.0952424	-0.045685	0.0543453	0.176938	-0.226653	0.0869228	0	0	0	0	0	0.0726057	0.0403171	0.0888934	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.68923	0	0	0	0	0	0	0	0	0	0	0	0	-3.75641	0.082976	0.0123389	0.0486324	0.00187417	-0.223983	0.0312584	0.0137298	-0.226653	0.0112584	-0.0462702	-0.226653	-0.0287416	-0.0952424	-0.045685	0.0543453	0.176938	-0.226653	0.0869228	0	0	0	0	0	0.0727802	0.0401426	0.0888934	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
